ID_objet;Date;Heure;Longitude;Latitude;Categ;Ss_categ;Etat;Quantite
66;07/06/17;20:44:47;1,472994604;43,58108378;Ameublement;Literie;Reparable;1
67;16/02/17;10:12:01;1,432337241;43,58361978;Vehicules;Pieces detaches;Bon;2
68;25/11/16;20:31:05;1,34987146;43,58581118;Ameublement;Table;Abime;1
69;21/07/17;10:31:17;1,453333519;43,5427356;Materiaux;Feraille;Reparable;3
70;26/05/17;22:15:30;1,353993275;43,54805151;Ameublement;Table;Reparable;3
71;06/10/16;03:10:02;1,3457498;43,54397407;Decos;NULL;Reparable;1
72;27/08/17;15:46:14;1,347505773;43,62080206;Ameublement;Literie;Abime;3
73;18/04/17;12:00:27;1,465415691;43,61789891;Divers;NULL;Bon;2
74;21/11/16;08:12:15;1,479337906;43,54934045;Vaisselles;NULL;Inconnu;4
75;11/04/17;07:36:58;1,391823306;43,65568179;Vetement/textile;Enfant;Bon;3
76;11/05/17;03:41:40;1,457662238;43,55987743;Materiaux;Bois;Inconnu;1
77;21/02/17;01:51:11;1,397219099;43,60240387;Ameublement;Chaise;Reparable;1
78;08/11/16;12:38:53;1,443875279;43,57276327;Outils;NULL;Reparable;2
79;12/11/16;08:27:37;1,509348258;43,65521757;Materiaux;Feraille;Reparable;1
80;12/01/17;18:00:59;1,503551387;43,59854063;Divers;NULL;Inconnu;3
81;13/07/17;18:58:06;1,441356462;43,61917614;Electronique;Ordinateur;Reparable;3
82;25/09/16;04:08:37;1,488787625;43,53567425;Vetement/textile;Homme;Inconnu;1
83;23/11/16;18:23:16;1,440987079;43,58014765;Electromenager;NULL;Reparable;3
84;26/05/17;06:34:54;1,423729835;43,65824526;Ameublement;Fauteuil;Abime;3
85;11/07/17;20:50:57;1,469142069;43,63252171;Electronique;Telephonie;Abime;3
86;23/08/17;07:25:14;1,380313718;43,65835508;Materiaux;Bois;Inconnu;3
87;05/08/17;23:39:48;1,44277153;43,54664273;Vetement/textile;Enfant;Reparable;3
88;04/09/16;01:11:09;1,473667584;43,5599784;Divers;NULL;Abime;1
89;10/08/17;22:54:14;1,423165757;43,60690922;Ameublement;Rangement;Reparable;3
90;25/11/16;17:05:49;1,473770564;43,60899582;Outils;NULL;Reparable;4
91;11/06/17;11:17:57;1,397268835;43,58664466;Vetement/textile;Enfant;Inconnu;2
92;12/05/17;21:39:30;1,425670754;43,63507151;Electronique;Telephonie;Reparable;4
93;16/03/17;04:52:17;1,384341793;43,55048948;Electronique;Jeux videos;Reparable;4
94;06/03/17;01:50:09;1,429922714;43,59601364;Ameublement;Table;Bon;4
95;30/08/17;06:22:14;1,508619423;43,56426192;Outils;NULL;Bon;1
96;19/09/17;20:32:26;1,3684927;43,61189522;Electronique;Jeux videos;Abime;4
97;17/09/17;05:09:05;1,4931965;43,57592124;Vaisselles;NULL;Bon;1
98;02/09/17;18:50:31;1,47621984;43,58075447;Materiaux;Verre;Inconnu;2
99;26/08/17;03:24:30;1,444571241;43,59835937;Electronique;Jeux videos;Reparable;3
100;17/06/17;19:09:50;1,362364369;43,63582253;Ameublement;Chaise;Bon;4
101;15/03/17;11:24:40;1,361145022;43,65882665;Electromenager;NULL;Abime;2
102;14/10/16;01:38:53;1,368932486;43,58106043;Ameublement;Chaise;Bon;1
103;30/05/17;23:10:47;1,436126205;43,53066026;Electromenager;NULL;Reparable;3
104;14/10/16;22:35:40;1,416144068;43,59705254;Electronique;Jeux videos;Reparable;2
105;19/11/16;10:22:04;1,504780951;43,57042501;Electromenager;NULL;Bon;2
106;13/12/16;00:56:37;1,50672661;43,65942416;Outils;NULL;Bon;4
107;26/08/17;10:45:51;1,420448012;43,5497876;Materiaux;Feraille;Bon;4
108;15/04/17;04:39:24;1,442506871;43,54856712;Materiaux;Carton;Reparable;2
109;23/05/17;06:04:20;1,380286489;43,56225263;Ameublement;Fauteuil;Bon;2
110;17/04/17;15:26:45;1,418513865;43,59748415;Vetement/textile;Homme;Inconnu;2
111;10/08/17;13:37:35;1,382260537;43,55275788;Vetement/textile;Enfant;Bon;3
112;27/09/17;01:45:08;1,423492798;43,56842998;Ameublement;Chaise;Inconnu;4
113;04/08/17;10:02:34;1,459587609;43,5429463;Outils;NULL;Abime;1
114;09/04/17;08:21:08;1,409530501;43,53538609;Vehicules;Autres;Reparable;3
115;01/01/17;21:58:48;1,397421775;43,53906606;Vetement/textile;Homme;Abime;1
116;16/06/17;11:04:59;1,493373681;43,6316719;Vehicules;Velos;Abime;2
117;05/07/17;19:40:29;1,462627051;43,6350961;Vehicules;Pieces detaches;Reparable;3
118;09/07/17;22:45:04;1,405685048;43,62127483;Materiaux;Bois;Reparable;4
119;31/07/17;13:59:21;1,457184117;43,61819613;Divers;NULL;Inconnu;4
120;24/07/17;20:04:32;1,387048072;43,61288895;Vehicules;Autres;Inconnu;2
121;01/11/16;19:56:42;1,366739229;43,65507744;Vaisselles;NULL;Reparable;3
122;09/02/17;04:42:30;1,46349398;43,54245753;Vetement/textile;Homme;Bon;3
123;04/09/16;18:43:36;1,468729809;43,63638427;Decos;NULL;Abime;3
124;18/04/17;13:17:22;1,364677715;43,57163254;Divers;NULL;Reparable;2
125;16/07/17;22:44:51;1,415594502;43,5932241;Materiaux;Bois;Reparable;3
126;03/11/16;14:59:11;1,480503749;43,58754084;Ameublement;Fauteuil;Inconnu;1
127;25/09/16;00:04:16;1,360325186;43,56365113;Ameublement;Literie;Inconnu;2
128;12/03/17;23:44:56;1,365858149;43,57598874;Vetement/textile;Femme;Bon;4
129;17/05/17;03:53:21;1,50640966;43,59208215;Vehicules;Autres;Reparable;2
130;11/01/17;02:42:12;1,367069502;43,62059913;Outils;NULL;Bon;1
131;10/03/17;06:46:24;1,502021566;43,6146023;Vetement/textile;Enfant;Inconnu;2
132;25/08/17;06:15:59;1,362867994;43,56602355;Materiaux;Carton;Bon;4
133;29/09/17;15:55:44;1,475421296;43,64092746;Vetement/textile;Enfant;Reparable;1
134;11/07/17;08:27:07;1,449136446;43,52977953;Vehicules;Velos;Reparable;1
135;14/09/16;09:15:36;1,456589597;43,65179926;Vehicules;Pieces detaches;Bon;4
136;29/06/17;20:25:13;1,345191983;43,55434925;Ameublement;Chaise;Inconnu;4
137;05/10/17;13:42:45;1,391811773;43,63955185;Electromenager;NULL;Inconnu;4
138;11/09/17;21:30:46;1,492132848;43,62337139;Vetement/textile;Femme;Reparable;2
139;09/12/16;15:15:25;1,391161354;43,55468102;Vetement/textile;Enfant;Inconnu;2
140;04/10/16;09:34:27;1,492342316;43,62461298;Materiaux;Feraille;Bon;4
141;19/12/16;05:48:24;1,413203841;43,55326349;Materiaux;Feraille;Bon;4
142;15/01/17;00:28:31;1,422823576;43,574639;Vetement/textile;Homme;Bon;4
143;22/11/16;17:17:47;1,453685554;43,58210449;Ameublement;Fauteuil;Reparable;1
144;11/07/17;08:39:04;1,36699007;43,54739597;Vetement/textile;Femme;Inconnu;3
145;26/10/16;08:59:46;1,48709509;43,64666819;Materiaux;Feraille;Inconnu;2
146;15/08/17;19:22:26;1,469010104;43,63316924;Outils;NULL;Reparable;3
147;15/10/16;08:48:57;1,436380757;43,605628;Vetement/textile;Femme;Abime;4
148;20/06/17;21:59:54;1,499775681;43,58455956;Electronique;Telephonie;Reparable;3
149;26/03/17;10:42:19;1,403840654;43,65264775;Divers;NULL;Bon;3
150;02/12/16;07:02:03;1,483853022;43,577536;Materiaux;Bois;Bon;2
151;05/11/16;18:20:57;1,455969857;43,61157506;Ameublement;Table;Abime;4
152;08/09/17;22:51:49;1,410996571;43,54263415;Decos;NULL;Abime;1
153;05/06/17;15:47:09;1,407289862;43,59919128;Vehicules;Velos;Reparable;3
154;05/10/17;03:14:56;1,347676071;43,54633207;Electronique;Ordinateur;Inconnu;2
155;21/03/17;12:34:52;1,472221498;43,57037461;Vehicules;Velos;Abime;1
156;17/01/17;06:05:40;1,495520072;43,53361971;Vetement/textile;Femme;Bon;2
157;02/09/16;12:28:01;1,492556923;43,57552254;Ameublement;Fauteuil;Abime;2
158;25/08/17;17:07:27;1,478841085;43,53630073;Ameublement;Literie;Inconnu;2
159;15/09/16;07:27:37;1,499747916;43,56020206;Outils;NULL;Bon;1
160;12/09/16;01:32:27;1,449477635;43,58384098;Ameublement;Chaise;Inconnu;4
161;11/12/16;22:12:53;1,431344332;43,60163399;Vehicules;Autres;Abime;4
162;28/05/17;15:05:02;1,49896157;43,60317291;Decos;NULL;Reparable;4
163;10/08/17;11:07:50;1,370028916;43,58373192;Electromenager;NULL;Abime;1
164;12/12/16;11:31:33;1,418550632;43,63980318;Electronique;Telephonie;Abime;4
165;29/11/16;09:07:57;1,468182573;43,54433132;Materiaux;Carton;Inconnu;4
166;01/11/16;14:15:36;1,414783301;43,65136029;Ameublement;Chaise;Abime;4
167;27/10/16;02:55:23;1,414843294;43,63165123;Vaisselles;NULL;Bon;1
168;23/08/17;07:01:37;1,466334941;43,59839328;Electronique;Jeux videos;Inconnu;4
169;27/12/16;20:39:09;1,442473633;43,58288184;Decos;NULL;Abime;4
170;26/02/17;07:40:47;1,435104632;43,57671607;Ameublement;Literie;Inconnu;3
171;30/08/17;13:29:32;1,443296057;43,57894934;Ameublement;Literie;Abime;3
172;16/01/17;13:10:06;1,365765421;43,56161031;Electronique;Jeux videos;Abime;1
173;19/09/16;05:02:30;1,421895226;43,63038835;Ameublement;Rangement;Abime;2
174;15/12/16;05:46:05;1,38300701;43,55595334;Vetement/textile;Enfant;Abime;3
175;04/02/17;16:49:28;1,495096336;43,54258108;Electronique;Jeux videos;Inconnu;3
176;09/08/17;02:36:23;1,488877737;43,64510872;Electronique;Telephonie;Abime;4
177;04/04/17;15:12:41;1,505019864;43,56258684;Vetement/textile;Enfant;Inconnu;2
178;22/03/17;22:57:07;1,42863326;43,62995666;Outils;NULL;Reparable;3
179;14/11/16;04:21:04;1,349425809;43,60692708;Electromenager;NULL;Bon;3
180;19/05/17;11:32:04;1,466794081;43,64629683;Ameublement;Fauteuil;Reparable;3
181;09/10/16;07:16:32;1,489928077;43,6235445;Ameublement;Literie;Bon;4
182;30/05/17;14:20:12;1,430307707;43,62256091;Vehicules;Pieces detaches;Bon;3
183;02/11/16;13:48:49;1,426307275;43,59140382;Decos;NULL;Reparable;3
184;07/06/17;11:50:42;1,442890812;43,5523938;Electronique;Telephonie;Abime;2
185;24/05/17;11:01:22;1,359153638;43,65997469;Vehicules;Pieces detaches;Bon;4
186;31/03/17;03:49:01;1,382312723;43,56959379;Electronique;Ordinateur;Abime;4
187;12/01/17;13:20:38;1,485870221;43,5602273;Vetement/textile;Femme;Abime;4
188;27/03/17;01:24:52;1,348924691;43,53884982;Materiaux;Feraille;Inconnu;1
189;21/09/17;08:41:27;1,38432582;43,56471395;Vaisselles;NULL;Inconnu;1
190;02/12/16;03:52:55;1,381781066;43,57826092;Ameublement;Fauteuil;Inconnu;1
191;12/01/17;03:22:45;1,442951109;43,55931761;Vetement/textile;Femme;Reparable;3
192;11/04/17;03:25:11;1,467344439;43,63917045;Ameublement;Rangement;Bon;1
193;24/03/17;15:06:00;1,424873244;43,65033928;Ameublement;Rangement;Abime;3
194;25/07/17;02:32:58;1,481494706;43,61900653;Vehicules;Pieces detaches;Bon;1
195;28/09/17;20:37:22;1,442435985;43,61047792;Electronique;Jeux videos;Abime;3
196;18/02/17;00:32:41;1,400906503;43,53351099;Materiaux;Verre;Abime;1
197;25/04/17;06:47:23;1,484000247;43,62494848;Ameublement;Chaise;Abime;1
198;23/11/16;19:15:11;1,377342593;43,55914418;Materiaux;Bois;Inconnu;4
199;08/01/17;09:20:06;1,420213916;43,57785529;Divers;NULL;Abime;3
200;30/03/17;04:52:29;1,364994644;43,58388571;Ameublement;Table;Abime;3
201;09/02/17;21:44:35;1,445899593;43,65577599;Ameublement;Rangement;Inconnu;4
202;06/05/17;15:55:22;1,469428953;43,54459309;Vehicules;Pieces detaches;Reparable;1
203;20/04/17;07:42:26;1,488667754;43,55781158;Vetement/textile;Femme;Abime;2
204;01/05/17;01:52:04;1,353234553;43,61724255;Ameublement;Literie;Reparable;4
205;31/08/17;20:12:28;1,476899726;43,53640982;Outils;NULL;Inconnu;4
206;22/04/17;14:40:20;1,355698985;43,6447403;Materiaux;Verre;Inconnu;3
207;21/09/17;21:38:31;1,457663725;43,57339923;Ameublement;Chaise;Bon;2
208;05/09/16;15:32:06;1,367016442;43,59122191;Electronique;Telephonie;Inconnu;2
209;04/05/17;11:50:31;1,392112611;43,60354639;Electronique;Telephonie;Inconnu;3
210;09/11/16;06:04:06;1,462943337;43,64972504;Ameublement;Fauteuil;Reparable;1
211;30/10/16;18:50:22;1,437296577;43,59261302;Electromenager;NULL;Bon;4
212;03/12/16;01:41:44;1,473505808;43,60219122;Vehicules;Pieces detaches;Abime;3
213;28/07/17;22:27:36;1,436526346;43,60091666;Electromenager;NULL;Reparable;3
214;12/09/17;14:32:46;1,442361203;43,53670092;Vehicules;Autres;Reparable;1
215;27/04/17;00:50:57;1,377918055;43,6217128;Ameublement;Rangement;Reparable;1
216;14/11/16;05:50:55;1,504686201;43,61802933;Vetement/textile;Homme;Abime;4
217;29/10/16;13:57:01;1,39663361;43,5556995;Divers;NULL;Abime;4
218;31/07/17;10:32:45;1,352830958;43,58098032;Vetement/textile;Enfant;Bon;3
219;23/04/17;10:46:53;1,431189374;43,57534769;Materiaux;Bois;Reparable;4
220;01/03/17;20:33:55;1,429591984;43,66043577;Ameublement;Literie;Inconnu;3
221;07/10/16;21:22:37;1,452744933;43,62636234;Materiaux;Verre;Inconnu;4
222;28/04/17;02:23:40;1,349172078;43,62897221;Ameublement;Chaise;Bon;3
223;10/07/17;12:05:03;1,423495931;43,61997708;Materiaux;Carton;Reparable;1
224;10/07/17;00:45:20;1,358930017;43,58025104;Vetement/textile;Homme;Bon;3
225;10/05/17;08:21:36;1,426429555;43,53168714;Ameublement;Chaise;Inconnu;3
226;09/08/17;23:16:31;1,350206434;43,64098622;Decos;NULL;Inconnu;2
227;21/07/17;12:06:51;1,386009011;43,57387198;Vehicules;Autres;Abime;3
228;24/09/17;06:41:22;1,484217891;43,5993029;Electronique;Telephonie;Abime;1
229;03/08/17;03:23:11;1,365916639;43,58847859;Outils;NULL;Inconnu;2
230;22/02/17;13:13:01;1,364522627;43,56488117;Vehicules;Velos;Bon;2
231;04/04/17;00:33:45;1,461569188;43,54821608;Ameublement;Literie;Bon;1
232;20/11/16;09:10:50;1,42886231;43,57606839;Materiaux;Bois;Reparable;2
233;20/12/16;05:34:53;1,366613527;43,61568016;Ameublement;Literie;Reparable;4
234;26/06/17;05:10:09;1,466761225;43,64111555;Vehicules;Velos;Inconnu;1
235;17/09/16;08:26:35;1,412311211;43,6317917;Ameublement;Rangement;Inconnu;2
236;03/01/17;17:07:49;1,474573839;43,54445676;Electronique;Ordinateur;Reparable;3
237;24/03/17;16:42:41;1,39120917;43,56416714;Vehicules;Autres;Bon;1
238;19/02/17;06:50:39;1,472584221;43,63948427;Vehicules;Pieces detaches;Abime;3
239;11/09/17;09:54:47;1,409805151;43,60837208;Divers;NULL;Bon;3
240;09/04/17;05:49:36;1,446033065;43,5634403;Vetement/textile;Enfant;Reparable;4
241;03/03/17;06:39:43;1,470367344;43,66029137;Vetement/textile;Homme;Reparable;2
242;30/10/16;10:51:13;1,418048027;43,54084263;Vetement/textile;Femme;Reparable;4
243;27/02/17;16:19:29;1,379202821;43,63477297;Ameublement;Table;Abime;2
244;31/05/17;13:47:58;1,485301959;43,59883775;Vetement/textile;Femme;Reparable;4
245;10/06/17;19:13:57;1,446278972;43,60480733;Vetement/textile;Femme;Abime;3
246;09/04/17;19:59:51;1,386634347;43,57140551;Vehicules;Velos;Bon;1
247;14/02/17;06:05:23;1,423307111;43,63436015;Vetement/textile;Enfant;Bon;4
248;14/11/16;23:08:28;1,414244484;43,64136149;Vaisselles;NULL;Reparable;4
249;17/12/16;19:05:21;1,449742974;43,62765435;Materiaux;Carton;Reparable;2
250;10/02/17;17:46:29;1,497507865;43,54637349;Ameublement;Fauteuil;Bon;2
251;29/01/17;14:10:50;1,501247047;43,59388727;Electronique;Ordinateur;Abime;2
252;27/08/17;19:48:22;1,467286734;43,55811062;Outils;NULL;Bon;4
253;18/09/16;05:45:15;1,357222643;43,64845868;Vaisselles;NULL;Inconnu;1
254;09/12/16;20:31:15;1,396991604;43,60597402;Ameublement;Rangement;Reparable;2
255;18/04/17;19:45:01;1,384301438;43,64093425;Vetement/textile;Homme;Bon;4
256;25/05/17;15:00:03;1,371014552;43,60761145;Materiaux;Feraille;Reparable;2
257;20/09/17;18:29:01;1,492405488;43,57483949;Electronique;Ordinateur;Abime;3
258;21/08/17;08:07:50;1,360079201;43,66052795;Ameublement;Fauteuil;Bon;1
259;14/05/17;18:35:10;1,361304996;43,562165;Electronique;Jeux videos;Inconnu;1
260;13/09/17;06:50:11;1,453308414;43,59979463;Materiaux;Feraille;Reparable;4
261;04/09/17;18:20:14;1,500905813;43,6189934;Materiaux;Bois;Bon;4
262;27/05/17;06:36:04;1,376635827;43,65421713;Materiaux;Verre;Reparable;2
263;05/06/17;02:58:08;1,409283489;43,6139629;Ameublement;Fauteuil;Reparable;4
264;18/06/17;20:47:22;1,474611281;43,59556586;Decos;NULL;Reparable;1
265;22/11/16;07:13:09;1,438520019;43,64137583;Vehicules;Velos;Abime;3
266;14/07/17;17:56:46;1,502794548;43,60615482;Ameublement;Chaise;Bon;3
267;26/03/17;03:51:20;1,371356295;43,54520561;Vehicules;Pieces detaches;Abime;3
268;21/06/17;05:31:07;1,499032837;43,55803334;Materiaux;Carton;Inconnu;4
269;13/12/16;23:12:31;1,434715725;43,57655932;Ameublement;Literie;Bon;1
270;03/08/17;21:47:23;1,502268882;43,65413403;Materiaux;Verre;Bon;2
271;24/06/17;21:10:36;1,371710799;43,56575789;Electronique;Jeux videos;Inconnu;3
272;29/08/17;12:16:29;1,349301649;43,62245085;Vetement/textile;Femme;Abime;1
273;22/04/17;20:11:04;1,422160085;43,6474148;Electromenager;NULL;Inconnu;2
274;24/11/16;19:26:14;1,43775088;43,58625256;Electronique;Jeux videos;Abime;2
275;15/03/17;05:19:56;1,492195827;43,54498823;Ameublement;Chaise;Bon;2
276;04/01/17;02:28:20;1,483662877;43,65223354;Electronique;Ordinateur;Inconnu;4
277;02/02/17;05:47:19;1,49683215;43,64687759;Vetement/textile;Femme;Bon;4
278;27/11/16;08:53:36;1,477659072;43,53005352;Decos;NULL;Abime;2
279;02/02/17;13:01:43;1,448608257;43,62542132;Vetement/textile;Enfant;Abime;3
280;20/09/16;21:36:05;1,355404425;43,55675003;Ameublement;Table;Inconnu;1
281;26/02/17;20:53:01;1,499138278;43,6404249;Electromenager;NULL;Inconnu;1
282;20/09/17;13:21:41;1,433113158;43,57803559;Materiaux;Verre;Abime;2
283;23/04/17;11:28:55;1,382947044;43,65171268;Materiaux;Feraille;Inconnu;1
284;30/12/16;07:05:29;1,497146374;43,60672955;Materiaux;Feraille;Bon;2
285;14/11/16;21:50:29;1,364087353;43,62105882;Vehicules;Velos;Bon;3
286;04/03/17;13:12:41;1,36854836;43,63070394;Divers;NULL;Reparable;1
287;30/08/17;17:36:27;1,425281867;43,62851805;Ameublement;Table;Bon;3
288;10/03/17;02:03:46;1,400295538;43,56742793;Materiaux;Bois;Inconnu;4
289;16/12/16;05:07:27;1,489736692;43,52922478;Vetement/textile;Femme;Abime;2
290;14/01/17;00:44:08;1,492010851;43,5301591;Electromenager;NULL;Bon;4
291;09/01/17;22:16:12;1,367562412;43,61920997;Electronique;Ordinateur;Reparable;2
292;30/05/17;21:00:52;1,419676047;43,52945839;Ameublement;Rangement;Reparable;3
293;13/06/17;16:08:30;1,414207932;43,56155759;Ameublement;Table;Bon;2
294;09/03/17;14:11:52;1,360592171;43,61321551;Vaisselles;NULL;Reparable;2
295;03/03/17;02:55:27;1,385728428;43,5735943;Electronique;Ordinateur;Bon;2
296;02/10/17;03:30:02;1,344590301;43,62192306;Vehicules;Autres;Abime;4
297;17/11/16;22:17:22;1,450041418;43,58661421;Outils;NULL;Bon;1
298;25/05/17;06:06:21;1,457572814;43,65792421;Vehicules;Velos;Abime;1
299;01/04/17;08:19:47;1,387072449;43,59833547;Electronique;Ordinateur;Reparable;2
300;29/04/17;02:45:21;1,469292897;43,64427629;Materiaux;Bois;Inconnu;4
301;23/02/17;16:42:37;1,451723673;43,53957986;Vehicules;Velos;Bon;4
302;02/09/17;12:28:27;1,404227184;43,57115492;Materiaux;Bois;Abime;4
303;19/02/17;14:33:30;1,459072114;43,55514729;Materiaux;Verre;Inconnu;3
304;25/09/17;11:55:57;1,424251604;43,53727463;Ameublement;Table;Reparable;4
305;02/04/17;03:59:34;1,402282704;43,57204823;Outils;NULL;Inconnu;3
306;03/10/17;11:48:43;1,407392515;43,6179598;Ameublement;Literie;Reparable;1
307;20/07/17;22:00:04;1,493909479;43,60658398;Ameublement;Chaise;Reparable;2
308;16/12/16;09:46:45;1,422692669;43,57441527;Materiaux;Feraille;Abime;2
309;02/02/17;13:43:28;1,354019868;43,58334486;Materiaux;Feraille;Inconnu;1
310;04/09/16;11:07:02;1,433314734;43,59915329;Divers;NULL;Abime;4
311;29/12/16;10:47:59;1,459150411;43,54421407;Ameublement;Chaise;Reparable;1
312;22/09/17;04:24:10;1,496921118;43,55839489;Materiaux;Carton;Reparable;1
313;21/08/17;03:12:31;1,375981539;43,64014258;Materiaux;Feraille;Inconnu;2
314;14/03/17;13:01:21;1,504678198;43,65711522;Materiaux;Carton;Abime;1
315;20/01/17;07:21:59;1,38352935;43,59763923;Vetement/textile;Femme;Abime;4
316;25/06/17;00:49:46;1,435594322;43,55337924;Ameublement;Fauteuil;Inconnu;4
317;03/05/17;18:31:53;1,405824111;43,57473494;Electronique;Ordinateur;Abime;1
318;11/01/17;02:02:41;1,393002782;43,55808738;Ameublement;Literie;Bon;3
319;21/05/17;03:32:30;1,457569284;43,63110556;Vehicules;Pieces detaches;Inconnu;1
320;01/03/17;15:13:47;1,426082837;43,57422664;Electronique;Telephonie;Bon;4
321;02/02/17;16:34:05;1,464704084;43,583974;Materiaux;Feraille;Abime;3
